"date","shrub_num","aspect","tag_num","treatment","species","counts"
"2019-07-30",1,"north",151,"control","ERISIM",0
"2019-08-06",1,"north",151,"control","ERISIM",0
"2019-08-13",1,"north",151,"control","ERISIM",0
"2019-08-19",1,"north",151,"control","ERISIM",0
"2019-07-09",1,"north",151,"control","MINOBT",0
"2019-07-16",1,"north",151,"control","MINOBT",1
"2019-07-23",1,"north",151,"control","MINOBT",1
"2019-07-30",1,"north",151,"control","MINOBT",2
"2019-08-06",1,"north",151,"control","MINOBT",1
"2019-08-13",1,"north",151,"control","MINOBT",0
"2019-08-19",1,"north",151,"control","MINOBT",0
"2019-07-09",1,"north",151,"control","AREFEN",0
"2019-07-16",1,"north",151,"control","AREFEN",0
"2019-07-23",1,"north",151,"control","AREFEN",3
"2019-07-30",1,"north",151,"control","AREFEN",4
"2019-08-06",1,"north",151,"control","AREFEN",0
"2019-08-13",1,"north",151,"control","AREFEN",0
"2019-08-19",1,"north",151,"control","AREFEN",0
"2019-07-09",2,"north",109,"shrub","GEUROS",1
"2019-07-16",2,"north",109,"shrub","GEUROS",0
"2019-07-23",2,"north",109,"shrub","GEUROS",0
"2019-07-30",2,"north",109,"shrub","GEUROS",0
"2019-08-06",2,"north",109,"shrub","GEUROS",0
"2019-08-13",2,"north",109,"shrub","GEUROS",0
"2019-08-19",2,"north",109,"shrub","GEUROS",0
"2019-07-09",2,"north",109,"shrub","ARTSCO",0
"2019-07-16",2,"north",109,"shrub","ARTSCO",0
"2019-07-23",2,"north",109,"shrub","ARTSCO",0
"2019-07-30",2,"north",109,"shrub","ARTSCO",0
"2019-08-06",2,"north",109,"shrub","ARTSCO",0
"2019-08-13",2,"north",109,"shrub","ARTSCO",0
"2019-08-19",2,"north",109,"shrub","ARTSCO",0
"2019-07-09",2,"north",109,"shrub","CARRUP",0
"2019-07-16",2,"north",109,"shrub","CARRUP",0
"2019-07-23",2,"north",109,"shrub","CARRUP",0
"2019-07-30",2,"north",109,"shrub","CARRUP",0
"2019-08-06",2,"north",109,"shrub","CARRUP",0
"2019-08-13",2,"north",109,"shrub","CARRUP",0
"2019-08-19",2,"north",109,"shrub","CARRUP",0
"2019-07-09",2,"north",109,"shrub","POLBIS",0
"2019-07-16",2,"north",109,"shrub","POLBIS",0
"2019-07-23",2,"north",109,"shrub","POLBIS",0
"2019-07-30",2,"north",109,"shrub","POLBIS",0
"2019-08-06",2,"north",109,"shrub","POLBIS",0
"2019-08-13",2,"north",109,"shrub","POLBIS",0
"2019-08-19",2,"north",109,"shrub","POLBIS",0
"2019-07-09",2,"north",109,"shrub","POLVIV",0
"2019-07-16",2,"north",109,"shrub","POLVIV",0
"2019-07-23",2,"north",109,"shrub","POLVIV",0
"2019-07-30",2,"north",109,"shrub","POLVIV",3
"2019-08-06",2,"north",109,"shrub","POLVIV",4
"2019-08-13",2,"north",109,"shrub","POLVIV",6
"2019-08-19",2,"north",109,"shrub","POLVIV",0
"2019-07-09",2,"north",114,"control","KOBMYO",0
"2019-07-16",2,"north",114,"control","KOBMYO",14
"2019-07-23",2,"north",114,"control","KOBMYO",2
"2019-07-30",2,"north",114,"control","KOBMYO",0
"2019-08-06",2,"north",114,"control","KOBMYO",0
"2019-08-13",2,"north",114,"control","KOBMYO",0
"2019-08-19",2,"north",114,"control","KOBMYO",0
"2019-07-09",2,"north",114,"control","ERISIM",0
"2019-07-16",2,"north",114,"control","ERISIM",0
"2019-07-23",2,"north",114,"control","ERISIM",0
"2019-07-30",2,"north",114,"control","ERISIM",0
"2019-08-06",2,"north",114,"control","ERISIM",0
"2019-08-13",2,"north",114,"control","ERISIM",0
"2019-08-19",2,"north",114,"control","ERISIM",0
"2019-07-09",2,"north",114,"control","ARTSCO",0
"2019-07-16",2,"north",114,"control","ARTSCO",0
"2019-07-23",2,"north",114,"control","ARTSCO",0
"2019-07-30",2,"north",114,"control","ARTSCO",0
"2019-08-06",2,"north",114,"control","ARTSCO",0
"2019-08-13",2,"north",114,"control","ARTSCO",0
"2019-08-19",2,"north",114,"control","ARTSCO",0
"2019-07-09",2,"north",114,"control","CARRUP",0
"2019-07-16",2,"north",114,"control","CARRUP",0
"2019-07-23",2,"north",114,"control","CARRUP",0
"2019-07-30",2,"north",114,"control","CARRUP",0
"2019-08-06",2,"north",114,"control","CARRUP",0
"2019-08-13",2,"north",114,"control","CARRUP",0
"2019-08-19",2,"north",114,"control","CARRUP",0
"2019-07-09",2,"north",114,"control","GEUROS",0
"2019-07-16",2,"north",114,"control","GEUROS",0
"2019-07-23",2,"north",114,"control","GEUROS",0
"2019-07-30",2,"north",114,"control","GEUROS",0
"2019-08-06",2,"north",114,"control","GEUROS",0
"2019-08-13",2,"north",114,"control","GEUROS",0
"2019-08-19",2,"north",114,"control","GEUROS",0
"2019-07-09",2,"north",114,"control","LLOSER",2
"2019-07-16",2,"north",114,"control","LLOSER",0
"2019-07-23",2,"north",114,"control","LLOSER",0
"2019-07-30",2,"north",114,"control","LLOSER",0
"2019-08-06",2,"north",114,"control","LLOSER",0
"2019-08-13",2,"north",114,"control","LLOSER",0
"2019-08-19",2,"north",114,"control","LLOSER",0
"2019-07-09",2,"north",114,"control","MINOBT",0
"2019-07-16",2,"north",114,"control","MINOBT",1
"2019-07-23",2,"north",114,"control","MINOBT",3
"2019-07-30",2,"north",114,"control","MINOBT",4
"2019-08-06",2,"north",114,"control","MINOBT",0
"2019-08-13",2,"north",114,"control","MINOBT",0
"2019-08-19",2,"north",114,"control","MINOBT",0
"2019-07-09",2,"north",114,"control","TRIDAS",0
"2019-07-16",2,"north",114,"control","TRIDAS",0
"2019-07-23",2,"north",114,"control","TRIDAS",1
"2019-07-30",2,"north",114,"control","TRIDAS",0
"2019-08-06",2,"north",114,"control","TRIDAS",0
"2019-08-13",2,"north",114,"control","TRIDAS",0
"2019-08-19",2,"north",114,"control","TRIDAS",0
"2019-07-09",3,"north",105,"shrub","KOBMYO",0
"2019-07-16",3,"north",105,"shrub","KOBMYO",1
"2019-07-23",3,"north",105,"shrub","KOBMYO",0
"2019-07-30",3,"north",105,"shrub","KOBMYO",0
"2019-08-06",3,"north",105,"shrub","KOBMYO",0
"2019-08-13",3,"north",105,"shrub","KOBMYO",0
"2019-08-19",3,"north",105,"shrub","KOBMYO",0
"2019-07-09",3,"north",105,"shrub","POLBIS",0
"2019-07-16",3,"north",105,"shrub","POLBIS",0
"2019-07-23",3,"north",105,"shrub","POLBIS",0
"2019-07-30",3,"north",105,"shrub","POLBIS",0
"2019-08-06",3,"north",105,"shrub","POLBIS",0
"2019-08-13",3,"north",105,"shrub","POLBIS",0
"2019-08-19",3,"north",105,"shrub","POLBIS",0
"2019-07-09",3,"north",105,"shrub","POLVIV",0
"2019-07-16",3,"north",105,"shrub","POLVIV",0
"2019-07-23",3,"north",105,"shrub","POLVIV",1
"2019-07-30",3,"north",105,"shrub","POLVIV",1
"2019-08-06",3,"north",105,"shrub","POLVIV",1
"2019-08-13",3,"north",105,"shrub","POLVIV",1
"2019-08-19",3,"north",105,"shrub","POLVIV",1
"2019-07-09",3,"north",105,"shrub","LEWPYG",1
"2019-07-16",3,"north",105,"shrub","LEWPYG",0
"2019-07-23",3,"north",105,"shrub","LEWPYG",0
"2019-07-30",3,"north",105,"shrub","LEWPYG",0
"2019-08-06",3,"north",105,"shrub","LEWPYG",0
"2019-08-13",3,"north",105,"shrub","LEWPYG",0
"2019-08-19",3,"north",105,"shrub","LEWPYG",0
"2019-07-09",3,"north",105,"shrub","SEDLAN",0
"2019-07-16",3,"north",105,"shrub","SEDLAN",0
"2019-07-23",3,"north",105,"shrub","SEDLAN",0
"2019-07-30",3,"north",105,"shrub","SEDLAN",0
"2019-08-06",3,"north",105,"shrub","SEDLAN",0
"2019-08-13",3,"north",105,"shrub","SEDLAN",0
"2019-08-19",3,"north",105,"shrub","SEDLAN",0
"2019-07-09",3,"north",105,"shrub","GEUROS",2
"2019-07-16",3,"north",105,"shrub","GEUROS",0
"2019-07-23",3,"north",105,"shrub","GEUROS",0
"2019-07-30",3,"north",105,"shrub","GEUROS",0
"2019-08-06",3,"north",105,"shrub","GEUROS",0
"2019-08-13",3,"north",105,"shrub","GEUROS",0
"2019-08-19",3,"north",105,"shrub","GEUROS",0
"2019-07-09",3,"north",105,"shrub","ARTSCO",0
"2019-07-16",3,"north",105,"shrub","ARTSCO",0
"2019-07-23",3,"north",105,"shrub","ARTSCO",0
"2019-07-30",3,"north",105,"shrub","ARTSCO",0
"2019-08-06",3,"north",105,"shrub","ARTSCO",0
"2019-08-13",3,"north",105,"shrub","ARTSCO",0
"2019-08-19",3,"north",105,"shrub","ARTSCO",0
"2019-07-09",3,"north",105,"shrub","LLOSER",0
"2019-07-16",3,"north",105,"shrub","LLOSER",0
"2019-07-23",3,"north",105,"shrub","LLOSER",0
"2019-07-30",3,"north",105,"shrub","LLOSER",0
"2019-08-06",3,"north",105,"shrub","LLOSER",0
"2019-08-13",3,"north",105,"shrub","LLOSER",0
"2019-08-19",3,"north",105,"shrub","LLOSER",0
"2019-07-09",3,"north",106,"control","ARTSCO",0
"2019-07-16",3,"north",106,"control","ARTSCO",0
"2019-07-23",3,"north",106,"control","ARTSCO",0
"2019-07-30",3,"north",106,"control","ARTSCO",0
"2019-08-06",3,"north",106,"control","ARTSCO",0
"2019-08-13",3,"north",106,"control","ARTSCO",0
"2019-08-19",3,"north",106,"control","ARTSCO",0
"2019-07-09",3,"north",106,"control","POLVIV",0
"2019-07-16",3,"north",106,"control","POLVIV",0
"2019-07-23",3,"north",106,"control","POLVIV",0
"2019-07-30",3,"north",106,"control","POLVIV",1
"2019-08-06",3,"north",106,"control","POLVIV",1
"2019-08-13",3,"north",106,"control","POLVIV",1
"2019-08-19",3,"north",106,"control","POLVIV",0
"2019-07-09",3,"north",106,"control","POLBIS",0
"2019-07-16",3,"north",106,"control","POLBIS",0
"2019-07-23",3,"north",106,"control","POLBIS",0
"2019-07-30",3,"north",106,"control","POLBIS",0
"2019-08-06",3,"north",106,"control","POLBIS",0
"2019-08-13",3,"north",106,"control","POLBIS",0
"2019-08-19",3,"north",106,"control","POLBIS",0
"2019-07-09",3,"north",106,"control","CARRUP",0
"2019-07-16",3,"north",106,"control","CARRUP",2
"2019-07-23",3,"north",106,"control","CARRUP",0
"2019-07-30",3,"north",106,"control","CARRUP",0
"2019-08-06",3,"north",106,"control","CARRUP",0
"2019-08-13",3,"north",106,"control","CARRUP",0
"2019-08-19",3,"north",106,"control","CARRUP",0
"2019-07-09",3,"north",106,"control","GEUROS",5
"2019-07-16",3,"north",106,"control","GEUROS",2
"2019-07-23",3,"north",106,"control","GEUROS",0
"2019-07-30",3,"north",106,"control","GEUROS",0
"2019-08-06",3,"north",106,"control","GEUROS",0
"2019-08-13",3,"north",106,"control","GEUROS",0
"2019-08-19",3,"north",106,"control","GEUROS",0
"2019-07-09",3,"north",106,"control","LLOSER",10
"2019-07-16",3,"north",106,"control","LLOSER",0
"2019-07-23",3,"north",106,"control","LLOSER",0
"2019-07-30",3,"north",106,"control","LLOSER",0
"2019-08-06",3,"north",106,"control","LLOSER",0
"2019-08-13",3,"north",106,"control","LLOSER",0
"2019-08-19",3,"north",106,"control","LLOSER",0
"2019-07-09",3,"north",106,"control","AREFEN",0
"2019-07-16",3,"north",106,"control","AREFEN",0
"2019-07-23",3,"north",106,"control","AREFEN",0
"2019-07-30",3,"north",106,"control","AREFEN",2
"2019-08-06",3,"north",106,"control","AREFEN",4
"2019-08-13",3,"north",106,"control","AREFEN",7
"2019-08-19",3,"north",106,"control","AREFEN",1
"2019-07-09",4,"north",110,"shrub","GEUROS",1
"2019-07-16",4,"north",110,"shrub","GEUROS",0
"2019-07-23",4,"north",110,"shrub","GEUROS",0
"2019-07-30",4,"north",110,"shrub","GEUROS",0
"2019-08-06",4,"north",110,"shrub","GEUROS",0
"2019-08-13",4,"north",110,"shrub","GEUROS",0
"2019-08-19",4,"north",110,"shrub","GEUROS",0
"2019-07-09",4,"north",110,"shrub","KOBMYO",0
"2019-07-16",4,"north",110,"shrub","KOBMYO",17
"2019-07-23",4,"north",110,"shrub","KOBMYO",0
"2019-07-30",4,"north",110,"shrub","KOBMYO",0
"2019-08-06",4,"north",110,"shrub","KOBMYO",0
"2019-08-13",4,"north",110,"shrub","KOBMYO",0
"2019-08-19",4,"north",110,"shrub","KOBMYO",0
"2019-07-09",4,"north",110,"shrub","POLBIS",0
"2019-07-16",4,"north",110,"shrub","POLBIS",0
"2019-07-23",4,"north",110,"shrub","POLBIS",0
"2019-07-30",4,"north",110,"shrub","POLBIS",0
"2019-08-06",4,"north",110,"shrub","POLBIS",0
"2019-08-13",4,"north",110,"shrub","POLBIS",0
"2019-08-19",4,"north",110,"shrub","POLBIS",0
"2019-07-09",4,"north",110,"shrub","POLVIV",0
"2019-07-16",4,"north",110,"shrub","POLVIV",0
"2019-07-23",4,"north",110,"shrub","POLVIV",1
"2019-07-30",4,"north",110,"shrub","POLVIV",3
"2019-08-06",4,"north",110,"shrub","POLVIV",4
"2019-08-13",4,"north",110,"shrub","POLVIV",1
"2019-08-19",4,"north",110,"shrub","POLVIV",1
"2019-07-09",4,"north",110,"shrub","TRIDAS",0
"2019-07-16",4,"north",110,"shrub","TRIDAS",1
"2019-07-23",4,"north",110,"shrub","TRIDAS",1
"2019-07-30",4,"north",110,"shrub","TRIDAS",0
"2019-08-06",4,"north",110,"shrub","TRIDAS",0
"2019-08-13",4,"north",110,"shrub","TRIDAS",0
"2019-08-19",4,"north",110,"shrub","TRIDAS",0
"2019-07-09",4,"north",111,"control","KOBMYO",0
"2019-07-16",4,"north",111,"control","KOBMYO",44
"2019-07-23",4,"north",111,"control","KOBMYO",3
"2019-07-30",4,"north",111,"control","KOBMYO",0
"2019-08-06",4,"north",111,"control","KOBMYO",0
"2019-08-13",4,"north",111,"control","KOBMYO",0
"2019-08-19",4,"north",111,"control","KOBMYO",0
"2019-07-09",4,"north",111,"control","POLBIS",0
"2019-07-16",4,"north",111,"control","POLBIS",0
"2019-07-23",4,"north",111,"control","POLBIS",0
"2019-07-30",4,"north",111,"control","POLBIS",0
